NORAD_CAT_ID_1,OBJECT_NAME_1,DSE_1,NORAD_CAT_ID_2,OBJECT_NAME_2,DSE_2,TCA,TCA_RANGE_KM,TCA_RELATIVE_SPEED_KMS,MAX_PROB,DILUTION_KM
63301,KINEIS-4C [+],7.056,19960,COSMOS 375 DEB [-],8.868,2026-09-18 00:24:39.458,0.008,13.563,3.424E-02,0.004
43804,SUOMI-100 [+],0.805,64307,STARLINK-34380 [+],1.519,2026-09-11 11:05:42.774,0.010,13.834,1.000E+00,0.000
57188,HORS 1 [+],1.281,62119,STARLINK-32535 [+],1.760,2026-09-12 05:07:13.605,0.017,14.180,1.944E-01,0.008
42808,IRIDIUM 117 [+],5.391,31024,FENGYUN 1C DEB [-],6.071,2026-09-16 02:53:35.684,0.028,13.645,2.957E-03,0.013
65911,STARLINK-35160 [+],4.902,100050,STARLINK-37826 [+],4.900,2026-09-15 14:05:06.086,0.029,2.143,3.048E-01,0.008
67829,STARLINK-36144 [+],1.635,30520,FENGYUN 1C DEB [-],1.279,2026-09-12 02:55:01.779,0.034,14.410,5.284E-02,0.017
43804,SUOMI-100 [+],4.830,47827,STARLINK-2413 [+],4.745,2026-09-15 11:41:31.352,0.037,13.123,5.422E-02,0.015
52862,STARLINK-4010 [+],3.377,39625,CZ-2C R/B [-],3.743,2026-09-14 08:43:56.936,0.040,14.158,3.861E-02,0.020
63707,STARLINK-33982 [+],6.759,66177,STARLINK-35352 [-],6.756,2026-09-17 11:37:20.669,0.044,2.600,6.112E-02,0.011
53423,STARLINK-4539 [+],2.431,65491,OBJECT D [-],2.496,2026-09-13 00:36:30.909,0.047,12.203,3.902E-02,0.017
43930,IRIDIUM 170 [+],5.417,30232,FENGYUN 1C DEB [-],5.504,2026-09-16 02:02:50.465,0.048,14.879,6.789E-04,0.032
57926,STARLINK-30468 [P],3.142,63905,STARLINK-34114 [+],2.906,2026-09-12 12:40:57.949,0.048,10.096,1.247E-01,0.015
59664,STARLINK-31910 [+],3.621,64531,TRANSPORTER-14 OBJECT D [+],3.630,2026-09-14 12:52:37.786,0.049,8.257,4.513E-02,0.014
60749,OBJECT E [+],2.199,67917,STARLINK-36722 [+],3.977,2026-09-13 03:03:32.144,0.049,13.323,3.074E-02,0.020
64277,STARLINK-34264 [+],5.068,100050,STARLINK-37826 [+],4.930,2026-09-15 14:47:49.716,0.049,6.823,1.322E-01,0.014
68377,SUPERVIEW NEO-2 05 [+],6.865,68378,SUPERVIEW NEO-2 06 [+],6.865,2026-09-16 10:14:58.420,0.049,0.001,1.823E-03,0.012
60237,GRBBETA [+],6.708,65117,ELECTRON KICK STAGE R/B [-],8.056,2026-09-17 03:07:10.764,0.050,3.711,1.730E-03,0.012
68377,SUPERVIEW NEO-2 05 [+],6.799,68378,SUPERVIEW NEO-2 06 [+],6.799,2026-09-16 08:40:09.259,0.050,0.001,1.823E-03,0.012
68377,SUPERVIEW NEO-2 05 [+],6.931,68378,SUPERVIEW NEO-2 06 [+],6.931,2026-09-16 11:49:47.425,0.052,0.001,1.823E-03,0.012
68377,SUPERVIEW NEO-2 05 [+],6.733,68378,SUPERVIEW NEO-2 06 [+],6.733,2026-09-16 07:05:19.937,0.054,0.001,1.823E-03,0.012
53973,STARLINK-5156 [+],3.103,60464,YAOGAN-43 01G [+],3.387,2026-09-14 01:14:53.039,0.056,10.226,3.157E-02,0.017
63562,STARLINK-32951 [+],4.335,66307,BANDWAGON-4 OBJECT Q [+],6.412,2026-09-14 19:00:16.112,0.056,5.698,3.705E-02,0.014
68377,SUPERVIEW NEO-2 05 [+],6.997,68378,SUPERVIEW NEO-2 06 [+],6.997,2026-09-16 13:24:36.280,0.057,0.001,1.823E-03,0.012
57921,STARLINK-30492 [+],5.533,64532,TRANSPORTER-14 OBJECT E [+],4.557,2026-09-15 03:17:06.830,0.058,8.136,3.280E-02,0.016
46913,R2 [+],6.352,58514,STARLINK-30983 [+],7.676,2026-09-16 19:00:08.609,0.059,8.147,3.175E-02,0.016
